Id,items-links-href,Address,Address-city,Price,Year,SqMtr,Rooms,Code
1547409847-924,https://www.funda.nl/koop/verkocht/delft/appartement-40662205-bouwnummer-bouwnr-331/?navigateSource=resultlist,Building number (Building No. 331),2611 BV Delft,"199,000",2018,37,1,2611
1547412885-1597,https://www.funda.nl/koop/verkocht/delft/appartement-40895953-zjoekowlaan-77/?navigateSource=resultlist,Zjoekowlaan 77,2625 PK Delft,"192,500",1973,94,4,2625
1547412694-1555,https://www.funda.nl/koop/verkocht/delft/appartement-40847543-bouwnummer-bouwnr-e1/?navigateSource=resultlist,Building number (Building No. E1),2611 DV Delft,"265,000",2018,55,2,2611
1547410796-1135,https://www.funda.nl/koop/verkocht/delft/huis-40589906-floris-bouwnr-1/?navigateSource=resultlist,Floris (Building No. 1),2613 JV Delft,"655,000",2018,159,6,2613
1547413159-1652,https://www.funda.nl/koop/verkocht/delft/huis-86241628-abtsregt-29/?navigateSource=resultlist,Abtsregt 29,2622 KN Delft,"1,000,000",2006,284,7,2622
1547411588-1311,https://www.funda.nl/koop/verkocht/delft/appartement-40870479-menno-ter-braaklaan-255/?navigateSource=resultlist,Menno ter Braaklaan 255,2624 TG Delft,"200,000",1965,108,5,2624
1547410665-1106,https://www.funda.nl/koop/verkocht/delft/appartement-40672053-storklaan-4/?navigateSource=resultlist,Storklaan 4,2613 XS Delft,"199,000",1960,78,4,2613
1547409439-839,https://www.funda.nl/koop/verkocht/delft/huis-40571867-landschapstraat-3/?navigateSource=resultlist,Landschapstraat 3,2614 WZ Delft,"719,000",1996,215,5,2614
1547410851-1147,https://www.funda.nl/koop/verkocht/delft/huis-86076496-breedkapper-17/?navigateSource=resultlist,Breedkapper 17,2614 SX Delft,"280,000",2011,80,3,2614
1547412656-1547,https://www.funda.nl/koop/verkocht/delft/appartement-40974366-machteld-van-meterenlaan-107/?navigateSource=resultlist,Machteld van Meterenlaan 107,2628 LP Delft,"385,000",2002,100,3,2628
